Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"AUTOMATICO","M0.1",Boolean,1,R/W,100,,,,,,,,,,"",
"BICO A","Q0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"BICO B","Q0.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DESLIGA ESTEIRA","I0.7",Boolean,1,R/W,100,,,,,,,,,,"",
"Emergencia","I0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"ESTEIRA","Q0.3",Boolean,1,R/W,100,,,,,,,,,,"",
"LIGA ESTEIRA","I0.6",Boolean,1,R/W,100,,,,,,,,,,"",
"MANUAL","M0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"MISTURADOR","Q0.2",Boolean,1,R/W,100,,,,,,,,,,"",
"PRODUTO A","M0.2",Boolean,1,R/W,100,,,,,,,,,,"",
"PRODUTO B","M0.3",Boolean,1,R/W,100,,,,,,,,,,"",
"PRODUTO C","M0.4",Boolean,1,R/W,100,,,,,,,,,,"",
"S1","I0.1",Boolean,1,R/W,100,,,,,,,,,,"",
"S2","I0.2",Boolean,1,R/W,100,,,,,,,,,,"",
"S3","I0.3",Boolean,1,R/W,100,,,,,,,,,,"",
"S4","I0.4",Boolean,1,R/W,100,,,,,,,,,,"",
"S5","I0.5",Boolean,1,R/W,100,,,,,,,,,,"",
"T_MISTURADOR","M1.3",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_A_BICO_A","M0.5",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_A_BICO_B","M0.6",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_B_BICO_A","M0.7",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_B_BICO_B","M1.0",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_C_BICO_A","M1.1",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_C_BICO_B","M1.2",Boolean,1,R/W,100,,,,,,,,,,"",
