Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"AUTOMATICO","K0000.02",Boolean,1,R/W,100,,,,,,,,,,"",
"BICO_A","K0000.14",Boolean,1,R/W,100,,,,,,,,,,"",
"BICO_B","K0000.15",Boolean,1,R/W,100,,,,,,,,,,"",
"DESLIGA_ESTEIRA","K0001.02",Boolean,1,R/W,100,,,,,,,,,,"",
"EMERGENCIA","K0000.00",Boolean,1,R/W,100,,,,,,,,,,"",
"ESTEIRA_LIGADA","K0001.01",Boolean,1,R/W,100,,,,,,,,,,"",
"LIGA_ESTEIRA","K0001.03",Boolean,1,R/W,100,,,,,,,,,,"",
"MANUAL","K0000.01",Boolean,1,R/W,100,,,,,,,,,,"",
"MISTURADOR","K0001.00",Boolean,1,R/W,100,,,,,,,,,,"",
"PRODUTO_A","K0000.03",Boolean,1,R/W,100,,,,,,,,,,"",
"PRODUTO_B","K0000.04",Boolean,1,R/W,100,,,,,,,,,,"",
"PRODUTO_C","K0000.05",Boolean,1,R/W,100,,,,,,,,,,"",
"S1","K0001.08",Boolean,1,R/W,100,,,,,,,,,,"",
"S2","K0001.07",Boolean,1,R/W,100,,,,,,,,,,"",
"S3","K0001.06",Boolean,1,R/W,100,,,,,,,,,,"",
"S4","K0001.05",Boolean,1,R/W,100,,,,,,,,,,"",
"S5","K0001.04",Boolean,1,R/W,100,,,,,,,,,,"",
"T_MISTURADOR","K0000.13",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_A_BICO_A","K0000.06",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_A_BICO_B","K0000.07",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_B_BICO_A","K0000.09",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_B_BICO_B","K0000.10",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_C_BICO_A","K0000.11",Boolean,1,R/W,100,,,,,,,,,,"",
"T_PROD_C_BICO_B","K0000.12",Boolean,1,R/W,100,,,,,,,,,,"",
