TagName,DataType,ClientAccess,EngUnits,Description
"AUTOMATICO",Boolean,R/W,"",""
"BICO A",Boolean,R/W,"",""
"BICO B",Boolean,R/W,"",""
"DESLIGA ESTEIRA",Boolean,R/W,"",""
"EMERGENCIA",Boolean,R/W,"",""
"ESTEIRA",Boolean,R/W,"",""
"LIGA ESTEIRA",Boolean,R/W,"",""
"MANUAL",Boolean,R/W,"",""
"MISTURADOR",Boolean,R/W,"",""
"PRODUTO A",Boolean,R/W,"",""
"PRODUTO B",Boolean,R/W,"",""
"PRODUTO C",Boolean,R/W,"",""
"S1",Boolean,R/W,"",""
"S2",Boolean,R/W,"",""
"S3",Boolean,R/W,"",""
"S4",Boolean,R/W,"",""
"S5",Boolean,R/W,"",""
"T_MISTURADOR",Boolean,R/W,"",""
"T_PROD_A_BICO_A",Boolean,R/W,"",""
"T_PROD_A_BICO_B",Boolean,R/W,"",""
"T_PROD_B_BICO_A",Boolean,R/W,"",""
"T_PROD_B_BICO_B",Boolean,R/W,"",""
"T_PROD_C_BICO_A",Boolean,R/W,"",""
"T_PROD_C_BICO_B",Boolean,R/W,"",""
